,sourceID,sourceAddress,sourceType,sourceLocation,destinationServiceAddress,destinationServiceType,destinationLocation,accessedNodeAddress,accessedNodeType,operation,value,normality
129087,74,61,4,19,59,4,19,117,8,3,20.3972,7
101571,5,16,0,5,16,0,5,32,1,1,4.0,7
23257,30,62,2,20,61,3,20,122,4,1,1.0,7
211361,82,14,7,10,8,0,10,16,1,1,9.0,7
73298,16,6,2,8,5,3,8,12,4,1,0.0,7
144391,83,27,7,9,16,0,5,32,1,3,5.0,7
352765,16,6,2,8,5,3,8,12,4,1,1.0,7
59603,4,15,0,5,15,0,5,30,2,1,1.0,7
48765,75,64,4,20,62,4,20,123,8,3,20.3758,7
52858,79,84,4,6,80,4,6,161,8,3,20.3979,7
44685,83,27,7,9,15,0,5,29,1,3,9.0,7
134483,27,53,2,17,52,3,17,104,4,1,0.0,7
50119,4,15,0,5,15,0,5,29,1,1,3.0,7
150917,5,16,0,5,16,0,5,33,2,1,0.0,7
192047,64,23,4,1,25,4,1,50,8,3,20.1612,7
87256,80,87,4,0,83,4,0,167,8,3,19.5159,7
96559,80,87,4,0,83,4,0,167,8,3,20.3492,7
17464,22,36,2,11,35,3,11,71,4,1,0.0,7
269447,3,9,0,10,8,0,10,16,1,1,0.0,7
283709,73,58,4,18,56,4,18,111,8,3,19.9955,7
335687,81,88,7,0,76,0,6,151,1,1,5.0,7
290963,0,80,0,6,76,0,6,152,2,1,0.0,7
96901,3,9,0,10,8,0,10,17,2,1,0.0,7
341948,4,15,0,5,15,0,5,29,1,1,2.0,7
310574,27,53,2,17,53,4,17,105,8,1,20.2141,7
205215,16,6,2,8,7,4,8,14,8,1,19.5386,7
328844,24,43,2,14,42,3,14,85,4,1,0.0,7
166213,81,88,7,0,77,0,6,154,1,3,4.0,7
135972,15,1,2,2,1,3,2,4,4,1,0.0,7
199856,5,16,0,5,16,0,5,32,1,1,6.0,7
241285,24,43,2,14,43,4,14,86,8,1,20.157,7
153456,66,34,4,3,32,4,3,64,8,3,19.5114,7
305234,79,84,4,6,80,4,6,161,8,3,19.9852,7
181454,4,15,0,5,15,0,5,29,1,1,6.0,7
30410,79,84,4,6,80,4,6,161,8,3,20.2684,7
27214,5,16,0,5,16,0,5,32,1,1,0.0,7
333459,26,49,2,16,49,4,16,98,8,1,19.7146,7
69993,4,15,0,5,15,0,5,30,2,1,1.0,7
325484,26,49,2,16,48,3,16,97,4,1,1.0,7
356393,65,26,4,9,28,4,9,56,8,3,19.7049,7
357375,83,27,7,9,16,0,5,32,1,1,10.0,7
37855,3,9,0,10,8,0,10,16,1,1,6.0,7
76076,68,42,4,13,40,4,13,80,8,3,19.9346,7
133168,67,38,4,11,36,4,11,72,8,3,20.1566,7
345159,22,36,2,11,35,3,11,71,4,1,1.0,7
96725,69,45,4,14,43,4,14,86,8,3,19.5962,7
156383,24,43,2,14,42,3,14,85,4,1,1.0,7
44155,4,15,0,5,15,0,5,29,1,1,4.0,7
93102,61,4,4,2,2,4,2,5,8,3,20.4061,7
278321,25,46,2,15,46,4,15,92,8,1,20.3071,7
317651,1,81,0,6,77,0,6,154,1,1,1.0,7
254391,82,14,7,10,8,0,10,16,1,1,5.0,7
25529,70,48,4,15,46,4,15,92,8,3,20.0778,7
44059,79,84,4,6,80,4,6,161,8,3,19.7472,7
346086,80,87,4,0,83,4,0,167,8,3,20.231,7
170521,75,64,4,20,62,4,20,123,8,3,19.702,7
269821,33,77,2,7,75,4,7,149,8,1,19.9686,7
318222,81,88,7,0,76,0,6,151,1,1,6.0,7
151903,30,62,2,20,61,3,20,122,4,1,0.0,7
201109,78,79,4,7,75,4,7,149,8,3,20.4422,7
77611,35,85,2,0,82,3,0,166,4,1,1.0,7
335961,3,9,0,10,8,0,10,16,1,3,8.0,7
164653,19,21,2,1,23,3,1,48,4,1,1.0,7
149032,81,88,7,0,77,0,6,154,1,3,5.0,7
41254,69,45,4,14,43,4,14,86,8,3,20.1548,7
232511,4,15,0,5,15,0,5,29,1,1,1.0,7
303491,83,27,7,9,16,0,5,32,1,3,8.0,7
129064,22,36,2,11,35,3,11,71,4,1,1.0,7
71115,3,9,0,10,8,0,10,17,2,1,0.0,7
50818,33,77,2,7,74,3,7,148,4,1,1.0,7
57912,62,8,4,8,7,4,8,14,8,3,19.7586,7
345334,81,88,7,0,76,0,6,151,1,3,4.0,7
48270,1,81,0,6,77,0,6,155,2,1,1.0,7
233871,83,27,7,9,15,0,5,29,1,3,7.0,7
36139,35,85,2,0,82,3,0,166,4,1,1.0,7
234989,4,15,0,5,15,0,5,30,2,1,1.0,7
228933,18,19,2,5,20,3,5,42,4,1,1.0,7
342789,30,62,2,20,62,4,20,123,8,1,20.3022,7
122484,3,9,0,10,8,0,10,16,1,1,3.0,7
248455,6,68,1,4,81,2,0,163,4,3,1.0,4
289945,2,75,0,7,72,0,7,143,2,1,0.0,7
66518,31,65,2,12,64,3,12,128,4,1,1.0,7
211583,68,42,4,13,40,4,13,80,8,3,20.4515,7
107250,33,77,2,7,74,3,7,148,4,1,0.0,7
181319,34,82,2,6,79,3,6,160,4,1,1.0,7
148510,4,15,0,5,15,0,5,30,2,1,0.0,7
110778,30,62,2,20,61,3,20,122,4,1,0.0,7
335850,64,23,4,1,17,1,5,35,2,3,1.0,2
20568,5,16,0,5,16,0,5,32,1,1,8.0,7
218646,23,40,2,13,40,4,13,80,8,1,19.5548,7
292805,82,14,7,10,8,0,10,16,1,3,3.0,7
248154,1,81,0,6,77,0,6,154,1,1,1.0,7
222868,5,16,0,5,16,0,5,32,1,3,9.0,7
78650,27,53,2,17,52,3,17,104,4,1,0.0,7
357638,26,49,2,16,49,4,16,98,8,1,20.345,7
106157,26,49,2,16,48,3,16,97,4,1,0.0,7
210287,72,55,4,17,53,4,17,105,8,3,20.2969,7
301818,81,88,7,0,77,0,6,154,1,1,7.0,7
