,0,1,2,3,4,5,6,7
AD_set_20_seed5,1185 (1.66%),62 (0.09%),171 (0.24%),168 (0.23%),277 (0.39%),105 (0.15%),38 (0.05%),69582 (97.20%)
AD_set_train20_seed5,935 (1.63%),53 (0.09%),141 (0.25%),132 (0.23%),222 (0.39%),85 (0.15%),32 (0.06%),55670 (97.21%)
AD_set_test20_seed5,250 (1.75%),9 (0.06%),30 (0.21%),36 (0.25%),55 (0.38%),20 (0.14%),6 (0.04%),13912 (97.16%)
AD_set_40_seed5,2377 (1.66%),134 (0.09%),346 (0.24%),323 (0.23%),591 (0.41%),209 (0.15%),61 (0.04%),139135 (97.18%)
AD_set_train40_seed5,1918 (1.67%),119 (0.10%),275 (0.24%),257 (0.22%),454 (0.40%),165 (0.14%),51 (0.04%),111301 (97.17%)
AD_set_test40_seed5,459 (1.60%),15 (0.05%),71 (0.25%),66 (0.23%),137 (0.48%),44 (0.15%),10 (0.03%),27834 (97.20%)
AD_set_60_seed5,3521 (1.64%),186 (0.09%),532 (0.25%),501 (0.23%),925 (0.43%),317 (0.15%),81 (0.04%),208702 (97.18%)
AD_set_train60_seed5,2798 (1.63%),155 (0.09%),427 (0.25%),395 (0.23%),758 (0.44%),259 (0.15%),64 (0.04%),166956 (97.17%)
AD_set_test60_seed5,723 (1.68%),31 (0.07%),105 (0.24%),106 (0.25%),167 (0.39%),58 (0.14%),17 (0.04%),41746 (97.19%)
AD_set_80_seed5,4652 (1.62%),254 (0.09%),688 (0.24%),646 (0.23%),1249 (0.44%),430 (0.15%),97 (0.03%),278337 (97.20%)
AD_set_train80_seed5,3695 (1.61%),203 (0.09%),551 (0.24%),507 (0.22%),1005 (0.44%),354 (0.15%),84 (0.04%),222683 (97.21%)
AD_set_test80_seed5,957 (1.67%),51 (0.09%),137 (0.24%),139 (0.24%),244 (0.43%),76 (0.13%),13 (0.02%),55654 (97.18%)
AD_set_100_seed5,5780 (1.61%),342 (0.10%),889 (0.25%),805 (0.22%),1547 (0.43%),532 (0.15%),122 (0.03%),347924 (97.20%)
AD_set_train100_seed5,4610 (1.61%),269 (0.09%),709 (0.25%),647 (0.23%),1234 (0.43%),410 (0.14%),92 (0.03%),278381 (97.22%)
AD_set_test100_seed5,1170 (1.63%),73 (0.10%),180 (0.25%),158 (0.22%),313 (0.44%),122 (0.17%),30 (0.04%),69543 (97.14%)
